Text,Source,Date_Time,User_ID,Location,Sentiment,Confidence_Score
I love this product!,Twitter,15-06-2023 09:23,@user123,New York,Positive,0.85
The service was terrible.,Yelp Reviews,15-06-2023 11:45,user456,Los Angeles,Negative,0.65
This movie is amazing!,IMDb,15-06-2023 14:10,moviefan789,London,Positive,0.92
I'm so disappointed with their customer support.,Online Forum,15-06-2023 17:35,forumuser1,Toronto,Negative,0.78
Just had the best meal of my life!,TripAdvisor,16-06-2023 08:50,foodie22,Paris,Positive,0.88
The quality of this product is subpar.,Amazon Reviews,16-06-2023 10:15,shopper123,San Francisco,Negative,0.72
I can't stop listening to this song. It's incredible!,Spotify,16-06-2023 13:40,musiclover456,Berlin,Positive,0.91
Their website is so user-friendly. Love it!,Website Testimonial,16-06-2023 16:05,testimonialuser1,Sydney,Positive,0.87
I loved the movie! It was fantastic!,IMDb,02-07-2023 09:12,user123,New York,Positive,0.92
The customer service was terrible.,Yelp Reviews,02-07-2023 10:45,user456,Los Angeles,Negative,0.65
This book made me feel inspired. Highly recommended!,Goodreads,02-07-2023 12:34,bookworm789,London,Positive,0.88
I'm extremely disappointed with their product quality.,Online Store,02-07-2023 15:21,shopper789,San Francisco,Negative,0.72
Just had the most amazing vacation! I can't wait to go back.,TripAdvisor,02-07-2023 18:01,travelenthusiast1,Sydney,Positive,0.93
The food at this restaurant was awful. Never going back again!,Zomato,02-07-2023 20:45,foodlover123,Mumbai,Negative,0.55
I can't stop listening to this song. It's my new favorite!,Spotify,03-07-2023 09:17,musiclover789,Berlin,Positive,0.91
Their website is so confusing and poorly designed.,Website Review,03-07-2023 11:59,user789,Toronto,Negative,0.68
I had an incredible experience at the theme park. So much fun!,Trip Report,03-07-2023 14:40,thrillseeker1,Orlando,Positive,0.89
The product arrived damaged. Very disappointed.,Online Store,03-07-2023 17:25,buyer123,Chicago,Negative,0.76
The concert was absolutely breathtaking. Best performance ever!,Event Review,03-07-2023 20:15,musicfan456,Paris,Positive,0.95
I had a terrible experience with their customer support.,Online Chat,04-07-2023 08:32,user1234,Sydney,Negative,0.61
This movie is a masterpiece! I was blown away.,IMDb,04-07-2023 14:05,cinephile789,Los Angeles,Positive,0.93
The customer service at this store is top-notch.,Yelp Reviews,04-07-2023 16:35,shopper456,New York,Positive,0.82
I'm disappointed with the ending of this book. It fell flat.,Goodreads,04-07-2023 19:18,booklover123,London,Negative,0.68
The product I received was damaged. Unacceptable.,Online Store,04-07-2023 21:52,buyer789,San Francisco,Negative,0.75
Just had the worst flight experience. Delayed and rude staff.,Airline Review,05-07-2023 09:10,traveler456,Sydney,Negative,0.57
The hotel stay was absolutely amazing! Luxury at its finest.,TripAdvisor,05-07-2023 12:30,traveladdict1,Paris,Positive,0.95
The food at this restaurant was outstanding. Highly recommended!,Zomato,05-07-2023 15:45,foodie789,Mumbai,Positive,0.89
This playlist is my go-to for workouts. Energizing and motivating!,Spotify,05-07-2023 18:20,gymrat123,Berlin,Positive,0.91
I had a frustrating experience navigating through their website.,Website Review,05-07-2023 21:05,user987,Toronto,Negative,0.67
The roller coaster ride was thrilling! Heart-pounding excitement!,Theme Park Review,06-07-2023 08:48,thrillseeker2,Orlando,Positive,0.92
The product I ordered never arrived. Terrible service.,Online Store,06-07-2023 11:25,customer123,Chicago,Negative,0.64
I can't get enough of this band. Their music is incredible!,Music Review,06-07-2023 14:15,musiclover987,London,Positive,0.94
I had a great chat with their customer support. Helpful and friendly.,Online Chat,06-07-2023 17:02,user7890,Sydney,Positive,0.85
This restaurant has the most delicious food. I can't wait to go back!,TripAdvisor,09-07-2023 09:12,foodie123,Paris,Positive,0.94
The product I purchased broke within a week. Poor quality.,Online Store,09-07-2023 11:45,shopper246,Los Angeles,Negative,0.61
This book is thought-provoking and beautifully written. Highly recommended!,Goodreads,09-07-2023 14:23,bookworm567,London,Positive,0.89
The customer service at this store is exceptional. They went above and beyond.,Retail Store,09-07-2023 17:05,shopper7890,New York,Positive,0.87
I had a terrible experience with their technical support. No resolution.,Online Helpdesk,09-07-2023 19:40,user9876,San Francisco,Negative,0.63
The live concert was electrifying! The band's energy was contagious.,Event Review,10-07-2023 08:50,musiclover7890,Sydney,Positive,0.92
I'm disappointed with the food at this restaurant. It was tasteless.,Zomato,10-07-2023 11:32,foodcritic123,Mumbai,Negative,0.68
This song always puts me in a good mood. It's my go-to feel-good track!,Spotify,10-07-2023 14:20,playlistlover456,Berlin,Positive,0.93
The website is slow and unresponsive. Difficult to navigate.,Website Review,10-07-2023 17:15,user24680,Toronto,Negative,0.65
The roller coaster ride was exhilarating! Pure adrenaline rush!,Theme Park Review,10-07-2023 20:02,thrillseeker789,Orlando,Positive,0.95
The product I ordered arrived damaged. Very disappointed with the packaging.,Online Store,11-07-2023 08:40,buyer7890,Chicago,Negative,0.67
I'm captivated by this band's unique sound. They're a breath of fresh air!,Music Review,11-07-2023 11:22,musicfan567,London,Positive,0.94
The customer support was quick to respond and resolved my issue. Impressed!,Online Chat,11-07-2023 14:18,user123456,Sydney,Positive,0.85
This restaurant has the best food. I highly recommend it!,Yelp Reviews,11-07-2023 17:30,foodie246,Los Angeles,Positive,0.9
The plot of this movie is confusing and hard to follow.,IMDb,11-07-2023 20:15,moviegoer789,London,Negative,0.62
I'm addicted to this game. It's so much fun!,Gaming Forum,12-07-2023 09:05,gamer123,New York,Positive,0.88
The customer service at this hotel was terrible. Avoid at all costs.,Travel Website,12-07-2023 11:45,traveler246,Paris,Negative,0.57
This book bored me to tears. I couldn't finish it.,Goodreads,12-07-2023 14:30,bookworm246,San Francisco,Negative,0.68
I'm impressed with the sound quality of these headphones. Excellent!,Online Store,12-07-2023 17:10,audiophile789,Berlin,Positive,0.92
The website design is sleek and user-friendly. Easy to navigate.,Website Testimonial,13-07-2023 08:50,testimonialuser2,Sydney,Positive,0.87
I had a terrible experience with their delivery service. Late and unprofessional.,Online Store,13-07-2023 11:25,shopper4567,Chicago,Negative,0.64
The concert was mind-blowing! The band knows how to put on a show.,Event Review,13-07-2023 14:05,musiclover1234,Paris,Positive,0.95
I'm extremely disappointed with the customer support. No resolution.,Online Chat,13-07-2023 16:35,user98765,Toronto,Negative,0.61
The hotel staff were rude and unprofessional. Terrible customer service.,Hotel Review,17-07-2023 08:50,traveler789,Paris,Negative,0.55
The food at this restaurant was mediocre. Nothing special.,Zomato,17-07-2023 11:32,foodlover2468,Mumbai,Negative,0.65
This song always puts me in a nostalgic mood. It reminds me of good times.,Spotify,17-07-2023 14:20,nostalgiacat123,Berlin,Positive,0.88
The website loading speed is frustratingly slow. Needs improvement.,Website Review,17-07-2023 17:15,user12345,Toronto,Negative,0.62
The food at this cafe exceeded my expectations. Absolutely delicious!,Food Blog,13-07-2023 19:18,foodlover246,Mumbai,Positive,0.92
I'm disappointed with the ending of this TV show. It left too many unanswered questions.,TV Show Review,14-07-2023 08:32,tvfan123,Los Angeles,Negative,0.66
This album is a masterpiece. Every song is a work of art!,Music Review,14-07-2023 11:05,musicenthusiast1,London,Positive,0.93
The website layout is cluttered and confusing. Difficult to find information.,Website Review,14-07-2023 14:40,user2468,Sydney,Negative,0.67
The roller coaster at this theme park is a thrilling experience. A must-try!,Theme Park Review,14-07-2023 17:25,thrillseeker3,Orlando,Positive,0.91
The product I ordered never arrived. Poor customer service.,Online Store,15-07-2023 08:50,buyer1234,Chicago,Negative,0.63
I'm in awe of this artist's talent. Their paintings are breathtaking!,Art Review,15-07-2023 12:30,artlover123,Paris,Positive,0.94
The food at this restaurant was disappointing. Not worth the price.,Zomato,15-07-2023 15:45,foodcritic246,Mumbai,Negative,0.68
This playlist is perfect for relaxation. Soothing and calming!,Spotify,15-07-2023 18:20,relaxmusiclover,Berlin,Positive,0.91
The website navigation is smooth and intuitive. I found what I needed quickly.,Website Testimonial,15-07-2023 21:05,happyuser123,Toronto,Positive,0.88
The ride on this cruise ship was an unforgettable experience. I loved every moment!,Travel Blog,16-07-2023 09:12,travelenthusiast2,Sydney,Positive,0.95
The product I received was of poor quality. It broke after a few uses.,Online Store,16-07-2023 11:45,shopper567,Los Angeles,Negative,0.61
This book kept me hooked from start to finish. A captivating read!,Goodreads,16-07-2023 14:23,bookworm7890,London,Positive,0.9
The customer service at this store is outstanding. They truly care about their customers.,Retail Store,16-07-2023 17:05,happyshopper1,New York,Positive,0.92
I had a frustrating experience with their technical support. No resolution provided.,Online Helpdesk,16-07-2023 19:40,user98765,San Francisco,Negative,0.67
The hotel staff were rude and unprofessional. Terrible customer service.,Hotel Review,17-07-2023 08:50,traveler789,Paris,Negative,0.55
The food at this restaurant was mediocre. Nothing special.,Zomato,17-07-2023 11:32,foodlover2468,Mumbai,Negative,0.65
This song always puts me in a nostalgic mood. It reminds me of good times.,Spotify,17-07-2023 14:20,nostalgiacat123,Berlin,Positive,0.88
The website loading speed is frustratingly slow. Needs improvement.,Website Review,17-07-2023 17:15,user12345,Toronto,Negative,0.62
I love this product!,Twitter,15-06-2023 09:23,@user123,New York,Positive,0.85
The service was terrible.,Yelp Reviews,15-06-2023 11:45,user456,Los Angeles,Negative,0.65
This movie is amazing!,IMDb,15-06-2023 14:10,moviefan789,London,Positive,0.92
I'm so disappointed with their customer support.,Online Forum,15-06-2023 17:35,forumuser1,Toronto,Negative,0.78
Just had the best meal of my life!,TripAdvisor,16-06-2023 08:50,foodie22,Paris,Positive,0.88
The quality of this product is subpar.,Amazon Reviews,16-06-2023 10:15,shopper123,San Francisco,Negative,0.72
I can't stop listening to this song. It's incredible!,Spotify,16-06-2023 13:40,musiclover456,Berlin,Positive,0.91
Their website is so user-friendly. Love it!,Website Testimonial,16-06-2023 16:05,testimonialuser1,Sydney,Positive,0.87
I loved the movie! It was fantastic!,IMDb,02-07-2023 09:12,user123,New York,Positive,0.92
The customer service was terrible.,Yelp Reviews,02-07-2023 10:45,user456,Los Angeles,Negative,0.65
This book made me feel inspired. Highly recommended!,Goodreads,02-07-2023 12:34,bookworm789,London,Positive,0.88
I'm extremely disappointed with their product quality.,Online Store,02-07-2023 15:21,shopper789,San Francisco,Negative,0.72
Just had the most amazing vacation! I can't wait to go back.,TripAdvisor,02-07-2023 18:01,travelenthusiast1,Sydney,Positive,0.93
The food at this restaurant was awful. Never going back again!,Zomato,02-07-2023 20:45,foodlover123,Mumbai,Negative,0.55
I can't stop listening to this song. It's my new favorite!,Spotify,03-07-2023 09:17,musiclover789,Berlin,Positive,0.91
Their website is so confusing and poorly designed.,Website Review,03-07-2023 11:59,user789,Toronto,Negative,0.68
I had an incredible experience at the theme park. So much fun!,Trip Report,03-07-2023 14:40,thrillseeker1,Orlando,Positive,0.89
